INTL_20160320_000001	Tambahan 1x masuk ke Instance Dungeon dan Mission	인던,미션 1회 추가입장				
INTL_20160320_000002	Memberikan benefit selama 30 hari kepada seluruh karakter di dalam server. Klik-Kanan untuk menggunakan.{nl}[Efek Token]{nl} - Mempelajari 2 attribute secara bersamaan{nl} - Pengurangan fee saat menjual item di Market (30% {img white_right_arrow 16 16} 10%){nl} - Dapat mendaftarkan 5 buah item untuk dijual pada Market{nl} - Meningkatkan movement speed karakter +3{nl} - Bonus EXP +30% saat membunuh monster{nl} - Dapat menggunakan Premium Gesture{nl}- Dapat melakukan 30 kali Personal Trade{nl}- Tambahan 1x masuk ke Instance Dungeon dan Mission{nl}	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 인던,미션 추가 1회 입장가능				
INTL_20160320_000003	Memberikan benefit selama 60 hari kepada seluruh karakter di dalam server. Klik-Kanan untuk menggunakan.{nl}[Efek Token]{nl} - Mempelajari 2 attribute secara bersamaan{nl} - Pengurangan fee saat menjual item di Market (30% {img white_right_arrow 16 16} 10%){nl} - Dapat mendaftarkan 5 buah item untuk dijual pada Market{nl} - Meningkatkan movement speed karakter +3{nl} - Bonus EXP +30% saat membunuh monster{nl} - Dapat menggunakan Premium Gesture{nl}- Dapat melakukan 60 kali Personal Trade{nl}- Tambahan 1x masuk ke Instance Dungeon dan Mission{nl}	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 인던,미션 추가 1회 입장가능	INTL_20160320_000002	Memberikan benefit selama 30 hari kepada seluruh karakter di dalam server. Klik-Kanan untuk menggunakan.{nl}[Efek Token]{nl} - Mempelajari 2 attribute secara bersamaan{nl} - Pengurangan fee saat menjual item di Market (30% {img white_right_arrow 16 16} 10%){nl} - Dapat mendaftarkan 5 buah item untuk dijual pada Market{nl} - Meningkatkan movement speed karakter +3{nl} - Bonus EXP +30% saat membunuh monster{nl} - Dapat menggunakan Premium Gesture{nl}- Dapat melakukan 30 kali Personal Trade{nl}- Tambahan 1x masuk ke Instance Dungeon dan Mission{nl}	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 인던,미션 추가 1회 입장가능	
INTL_20160323_000004	- Mempelajari 2 attribute secara bersamaan{nl} - Pengurangan fee saat menjual item di Market (30% {img white_right_arrow 16 16} 10%){nl} - Dapat mendaftarkan 5 buah item untuk dijual pada Market{nl} - Meningkatkan movement speed karakter +3{nl} - Hanya dapat trade sampai 30 kali{nl}	- 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3{nl} - 미션,던전 1회 추가입장{nl} - 최대 버프 적용 개수 증가{nl} - 프리미엄 제스쳐 사용 가능{nl}				
INTL_20160326_000005	Memberikan benefit selama 60 hari kepada seluruh karakter di dalam server. Klik-Kanan untuk menggunakan.{nl}[Efek Token]{nl} - Mempelajari 2 attribute secara bersamaan{nl} - Pengurangan fee saat menjual item di Market (30% {img white_right_arrow 16 16} 10%){nl} - Dapat mendaftarkan 5 buah item untuk dijual pada Market{nl} - Meningkatkan movement speed karakter +3{nl} - Bonus EXP +30% saat membunuh monster{nl}(Dapat dikombinasikan dengan EXP Tome){nl} - Dapat menggunakan Premium Gesture{nl} - Meningkatkan jumlah maksimum buff{nl} - Dapat melakukan 60 kali Personal Trade	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능	INTL_20160320_000003	Memberikan benefit selama 60 hari kepada seluruh karakter di dalam server. Klik-Kanan untuk menggunakan.{nl}[Efek Token]{nl} - Mempelajari 2 attribute secara bersamaan{nl} - Pengurangan fee saat menjual item di Market (30% {img white_right_arrow 16 16} 10%){nl} - Dapat mendaftarkan 5 buah item untuk dijual pada Market{nl} - Meningkatkan movement speed karakter +3{nl} - Bonus EXP +30% saat membunuh monster{nl} - Dapat menggunakan Premium Gesture{nl}- Dapat melakukan 60 kali Personal Trade{nl}- Tambahan 1x masuk ke Instance Dungeon dan Mission{nl}	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 인던,미션 추가 1회 입장가능	
INTL_20160326_000006	Token: 30 Hari	토큰:30일				
INTL_20160329_000007	Enchant Scroll x10 Box	마법 부여 스크롤 10개 상자				
INTL_20160329_000008	Saat digunakan akan memperoleh 10 buah Enchant Scroll. Klik-Kanan untuk menggunakan.	사용 시 마법 부여 스크롤 10개를 획득합니다. 마우스 우클릭으로 사용합니다.				
INTL_20160329_000009	Megaphone x10 Box	확성기 10개 상자				
INTL_20160329_000010	Saat digunakan akan memperoleh 10 buah Megaphone. Klik-Kanan untuk menggunakan.	사용 시 확성기 10개를 획득합니다. 마우스 우클릭으로 사용합니다.				
INTL_20160419_000011	Ketika digunakan akan mendapat 455 TP.	사용 시 455 TP를 획득합니다.				
INTL_20160419_000012	Ketika digunakan akan mendapat 266 TP.	사용 시 266 TP를 획득합니다.				
INTL_20160419_000013	Ketika digunakan akan mendapat 112 TP.	사용 시 112 TP를 획득합니다.				
INTL_20160419_000014	Klik-Kanan untuk mendapatkan item.{nl} - 455 TP{nl} - Token (60 Hari){nl} - Hair Accessory - Popolion Doll{nl} - Hair Accessory - Hanaming Doll{nl} - Hoglan Companion Voucher{nl} - Stat Reset Potion{nl} - Skill Reset Potion{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 455 TP{nl} - 토큰(60일){nl} - 헤어 악세서리 - 포포리온 인형{nl} - 헤어 악세서리 - 하나밍 인형{nl} - 호글란 컴패니언 교환권{nl} - 스탯초기화 포션{nl} - 스킬 초기화 포션{nl}	ETC_20160320_021185	Klik-Kanan untuk mendapatkan item.{nl} - 650 TP{nl} - Token (60 Hari){nl} - Hair Accessory - Popolion Doll{nl} - Hair Accessory - Hanaming Doll{nl} - Hoglan Companion Voucher{nl} - Stat Reset Potion{nl} - Skill Reset Potion{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 650 TP{nl} - 토큰(60일){nl} - 헤어 악세서리 - 포포리온 인형{nl} - 헤어 악세서리 - 하나밍 인형{nl} - 호글란 컴패니언 교환권{nl} - 스탯초기화 포션{nl} - 스킬 초기화 포션{nl}	
INTL_20160419_000015	Klik-Kanan untuk mendapatkan item.{nl} - 266 TP{nl} - Token (30 Hari){nl} - Hair Accessory - Popolion Doll{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 266 TP{nl} - 토큰 (30일){nl} - 헤어 악세서리 - 포포리온 인형{nl}	ETC_20160320_021189	Klik-Kanan untuk mendapatkan item.{nl} - 380 TP{nl} - Token (60 Hari){nl} - Hair Accessory - Popolion Doll{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 380 TP{nl} - 토큰 (30일){nl} - 헤어 악세서리 - 포포리온 인형{nl}	
INTL_20160425_000016	Memberikan benefit selama 60 hari kepada seluruh karakter di dalam server. Klik-Kanan untuk menggunakan.{nl}[Efek Token]{nl} - Mempelajari attribute secara instant{nl} - Pengurangan fee saat menjual item di Market (30% {img white_right_arrow 16 16} 10%){nl} - Dapat mendaftarkan 5 buah item untuk dijual pada Market{nl} - Meningkatkan movement speed karakter +3{nl} - +20% EXP dari hunting monster{nl} - Dapat menggunakan Premium Gesture{nl} - Meningkatkan jumlah maksimum buff{nl} - Dapat melakukan 60 kali Personal Trade	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능	INTL_20160326_000005	Memberikan benefit selama 60 hari kepada seluruh karakter di dalam server. Klik-Kanan untuk menggunakan.{nl}[Efek Token]{nl} - Mempelajari 2 attribute secara bersamaan{nl} - Pengurangan fee saat menjual item di Market (30% {img white_right_arrow 16 16} 10%){nl} - Dapat mendaftarkan 5 buah item untuk dijual pada Market{nl} - Meningkatkan movement speed karakter +3{nl} - Bonus EXP +30% saat membunuh monster{nl}(Dapat dikombinasikan dengan EXP Tome){nl} - Dapat menggunakan Premium Gesture{nl} - Meningkatkan jumlah maksimum buff{nl} - Dapat melakukan 60 kali Personal Trade	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능	
INTL_20160425_000017	Memberikan benefit selama 30 hari kepada seluruh karakter di dalam server. Klik-Kanan untuk menggunakan.{nl}[Efek Token]{nl} - Mempelajari attribute secara instant{nl} - Pengurangan fee saat menjual item di Market (30% {img white_right_arrow 16 16} 10%){nl} - Dapat mendaftarkan 5 buah item untuk dijual pada Market{nl} - Meningkatkan movement speed karakter +3{nl} - Bonus EXP +30% saat membunuh monster{nl} - Dapat menggunakan Premium Gesture{nl} - Meningkatkan jumlah maksimum buff{nl} - Dapat melakukan 30 kali Personal Trade{nl} - Tambahan 1x masuk ke Instance Dungeon dan Mission	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장	ETC_20160320_021192	Memberikan benefit selama 30 hari kepada seluruh karakter di dalam server. Klik-Kanan untuk menggunakan.{nl}[Efek Token]{nl} - Mempelajari 2 attribute secara bersamaan{nl} - Pengurangan fee saat menjual item di Market (30% {img white_right_arrow 16 16} 10%){nl} - Dapat mendaftarkan 5 buah item untuk dijual pada Market{nl} - Meningkatkan movement speed karakter +3{nl} - Bonus EXP +30% saat membunuh monster{nl}(Dapat dikombinasikan dengan EXP Tome){nl} - Dapat menggunakan Premium Gesture{nl} - Meningkatkan jumlah maksimum buff{nl} - Dapat melakukan 30 kali Personal Trade{nl} - Tambahan 1x masuk ke Instance Dungeon dan Mission	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장	
INTL_20160425_000018	Memberikan benefit selama 60 hari kepada seluruh karakter di dalam server. Klik-Kanan untuk menggunakan.{nl}[Efek Token]{nl} - Mempelajari attribute secara instant{nl} - Pengurangan fee saat menjual item di Market (30% {img white_right_arrow 16 16} 10%){nl} - Dapat mendaftarkan 5 buah item untuk dijual pada Market{nl} - Meningkatkan movement speed karakter +3{nl} - Bonus EXP +30% saat membunuh monster{nl} - Dapat menggunakan Premium Gesture{nl} - Meningkatkan jumlah maksimum buff{nl} - Dapat melakukan 60 kali Personal Trade{nl} - Tambahan 1x masuk ke Instance Dungeon dan Mission	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 미션,던전 추가 1회 추가입장	ETC_20160320_021194	Memberikan benefit selama 60 hari kepada seluruh karakter di dalam server. Klik-Kanan untuk menggunakan.{nl}[Efek Token]{nl} - Mempelajari 2 attribute secara bersamaan{nl} - Pengurangan fee saat menjual item di Market (30% {img white_right_arrow 16 16} 10%){nl} - Dapat mendaftarkan 5 buah item untuk dijual pada Market{nl} - Meningkatkan movement speed karakter +3{nl} - Bonus EXP +30% saat membunuh monster{nl}(Dapat dikombinasikan dengan EXP Tome){nl} - Dapat menggunakan Premium Gesture{nl} - Meningkatkan jumlah maksimum buff{nl} - Dapat melakukan 30 kali Personal Trade{nl} - Tambahan 1x masuk ke Instance Dungeon dan Mission	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 미션,던전 추가 1회 추가입장	
INTL_20160426_000019	Memberikan benefit selama 60 hari kepada seluruh karakter di dalam server. Klik-Kanan untuk menggunakan.{nl}[Efek Token]{nl} - Mempelajari 2 attribute secara bersamaan{nl} - Pengurangan fee saat menjual item di Market (30% {img white_right_arrow 16 16} 10%){nl} - Dapat mendaftarkan 5 buah item untuk dijual pada Market{nl} - Meningkatkan movement speed karakter +3{nl} - Bonus EXP +30% saat membunuh monster{nl}(Dapat dikombinasikan dengan EXP Tome){nl} - Dapat menggunakan Premium Gesture{nl} - Meningkatkan jumlah maksimum buff{nl} - Dapat melakukan 60 kali Personal Trade{nl}	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능	INTL_20160425_000016	Memberikan benefit selama 60 hari kepada seluruh karakter di dalam server. Klik-Kanan untuk menggunakan.{nl}[Efek Token]{nl} - Mempelajari attribute secara instant{nl} - Pengurangan fee saat menjual item di Market (30% {img white_right_arrow 16 16} 10%){nl} - Dapat mendaftarkan 5 buah item untuk dijual pada Market{nl} - Meningkatkan movement speed karakter +3{nl} - +20% EXP dari hunting monster{nl} - Dapat menggunakan Premium Gesture{nl} - Meningkatkan jumlah maksimum buff{nl} - Dapat melakukan 60 kali Personal Trade	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능	
INTL_20160426_000020	Memberikan benefit selama 30 hari kepada seluruh karakter di dalam server. Klik-Kanan untuk menggunakan.{nl}[Efek Token]{nl} - Mempelajari attribute secara instant{nl} - Pengurangan fee saat menjual item di Market (30% {img white_right_arrow 16 16} 10%){nl} - Dapat mendaftarkan 10 buah item untuk dijual pada Market{nl} - Meningkatkan movement speed karakter +3{nl} - Bonus EXP +30% saat membunuh monster{nl} - Dapat menggunakan Premium Gesture{nl} - Meningkatkan jumlah maksimum buff{nl} - Dapat melakukan 30 kali Personal Trade{nl} - Tambahan 1x masuk ke Instance Dungeon dan Mission	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장	INTL_20160425_000017	Memberikan benefit selama 30 hari kepada seluruh karakter di dalam server. Klik-Kanan untuk menggunakan.{nl}[Efek Token]{nl} - Mempelajari attribute secara instant{nl} - Pengurangan fee saat menjual item di Market (30% {img white_right_arrow 16 16} 10%){nl} - Dapat mendaftarkan 5 buah item untuk dijual pada Market{nl} - Meningkatkan movement speed karakter +3{nl} - Bonus EXP +30% saat membunuh monster{nl} - Dapat menggunakan Premium Gesture{nl} - Meningkatkan jumlah maksimum buff{nl} - Dapat melakukan 30 kali Personal Trade{nl} - Tambahan 1x masuk ke Instance Dungeon dan Mission	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장	
